Recipe Title,Recipe URL,Recipe Video,Most_Accurate_Cutlery,Most_Occurring_Cutlery,Last_Detected_Cutlery,All_Cutlery,Most_Accurate_Container,Most_Occurring_Container,Last_Detected_Container,All_Containers,Most_Accurate_Glass,Most_Occurring_Glass,Last_Detected_Glass,All_Glasses,Potential Foods,Other detections
One-Pot Enchilada Rice,https://tasty.co/recipe/one-pot-enchilada-rice,216.0,"[{'Cutlery': None, 'Accuracy': -1}]","[{'Cutlery': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Container': 'bowl', 'Accuracy': 63}","[{'Container': 'bowl', 'Occurrence': 51, 'Average Accuracy': 52.568627450980394}]","{'Container': 'bowl', 'Accuracy': 55}","{'bowl': {'Top Accuracy': 63, 'Occurrence': 51}, 'plate': {'Top Accuracy': 61, 'Occurrence': 32}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 53, 'Occurrences': 19}}","{'sieve': [62, 54, 53, 50], 'turner': [52, 47, 50, 48, 47], 'silicone-spatula': [50, 58, 55, 49, 51, 50], 'laptop': [50], 'whisk': [50, 55]}"
Zucchini Lasagna,https://tasty.co/recipe/zucchini-lasagna,217.0,"[{'Cutlery': 'person', 'Accuracy': 52}]","[{'Cutlery': 'person', 'Occurrence': 4, 'Average Accuracy': 49.75}]","{'Cutlery': 'person', 'Accuracy': 51}","{'person': {'Top Accuracy': 52, 'Occurrence': 4}}","{'Container': 'bowl', 'Accuracy': 63}","[{'Container': 'bowl', 'Occurrence': 13, 'Average Accuracy': 55.76923076923077}]","{'Container': 'bowl', 'Accuracy': 59}","{'bowl': {'Top Accuracy': 63, 'Occurrence': 13}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 60, 'Occurrences': 26}}","{'keyboard': [58], 'bed': [47], 'baking-dish': [72, 73, 72, 63, 60, 70, 57, 52, 57, 50, 65, 60, 61, 59, 54, 48, 47, 50, 52, 51, 51, 50, 51, 50, 48], 'food-container': [51, 48, 53, 54, 52, 55, 49, 51, 51, 49, 47, 47, 53, 52, 51, 48, 53, 54, 52, 49, 66], 'surfboard': [50], 'sieve': [60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 47], 'whisk': [48, 50, 49, 48, 49, 49, 48, 48, 49, 49, 49, 50, 52, 50, 51, 48], 'toothbrush': [47]}"
Monte Cristo Pull-Apart Sliders,https://tasty.co/recipe/monte-cristo-pull-apart-sliders,218.0,"[{'Cutlery': 'fork', 'Accuracy': 62}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 53.0}]","{'Cutlery': 'fork', 'Accuracy': 55}","{'fork': {'Top Accuracy': 62, 'Occurrence': 20}}","{'Container': 'bowl', 'Accuracy': 54}","[{'Container': 'bowl', 'Occurrence': 1, 'Average Accuracy': 54.0}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 54, 'Occurrence': 1}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'tongs': [53], 'cell phone': [48], 'remote': [47, 49, 49, 49]}"
Mozzarella-Stuffed Turkey Meatloaf,https://tasty.co/recipe/mozzarella-stuffed-turkey-meatloaf,225.0,"[{'Cutlery': 'fork', 'Accuracy': 48}]","[{'Cutlery': 'fork', 'Occurrence': 1, 'Average Accuracy': 48.0}]","{'Cutlery': 'fork', 'Accuracy': 48}","{'fork': {'Top Accuracy': 48, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 50}","[{'Container': 'bowl', 'Occurrence': 1, 'Average Accuracy': 50.0}]","{'Container': 'bowl', 'Accuracy': 50}","{'bowl': {'Top Accuracy': 50, 'Occurrence': 1}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 67, 'Occurrences': 37}, 'sandwich': {'Top Accuracy': 50, 'Occurrences': 2}}","{'dining table': [50, 58, 58, 59, 51, 49, 47, 48, 49, 48, 49, 49], 'sieve': [48, 54, 57, 47, 48, 48, 52, 52, 51, 57], 'jar': [52, 49], 'toothbrush': [48], 'skimmer': [58], 'whisk': [52]}"
Eggplant Parmesan Boats,https://tasty.co/recipe/eggplant-parmesan-boats,221.0,"[{'Cutlery': 'fork', 'Accuracy': 80}]","[{'Cutlery': 'fork', 'Occurrence': 5, 'Average Accuracy': 59.8}]","{'Cutlery': 'fork', 'Accuracy': 51}","{'fork': {'Top Accuracy': 80, 'Occurrence': 5}}","{'Container': 'bowl', 'Accuracy': 74}","[{'Container': 'bowl', 'Occurrence': 14, 'Average Accuracy': 61.714285714285715}]","{'Container': 'bowl', 'Accuracy': 57}","{'bowl': {'Top Accuracy': 74, 'Occurrence': 14}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 62, 'Occurrences': 18}}","{'food-container': [50, 49, 50, 50, 48, 48, 50, 50, 49, 59, 61], 'jar': [53, 52], 'laptop': [49, 70, 48, 51, 49], 'whisk': [61, 52, 48], 'sieve': [55, 56, 59, 56, 57, 52, 62, 67, 61, 57, 59, 58, 59, 57, 59, 58, 56, 54, 57, 57, 57, 56, 56, 57, 47, 48, 51, 53, 52], 'silicone-spatula': [56, 50, 48], 'turner': [48, 48, 48, 52, 48], 'tongs': [51, 54, 51]}"
Taco Lasagna,https://tasty.co/recipe/taco-lasagna,220.0,"[{'Cutlery': 'fork', 'Accuracy': 79}, {'Cutlery': 'spoon', 'Accuracy': 58}]","[{'Cutlery': 'fork', 'Occurrence': 47, 'Average Accuracy': 57.95744680851064}]","{'Cutlery': 'fork', 'Accuracy': 50}","{'fork': {'Top Accuracy': 79, 'Occurrence': 47}, 'person': {'Top Accuracy': 48, 'Occurrence': 2}, 'spoon': {'Top Accuracy': 58, 'Occurrence': 4}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 68, 'Occurrences': 79}}","{'silicone-spatula': [50, 50, 47, 48, 51, 54, 55], 'umbrella': [49], 'vase': [54], 'whisk': [52, 50, 48, 51, 48, 50, 50, 54, 53, 56, 47, 49, 47], 'sieve': [50, 49, 49, 51, 53, 53, 48], 'skimmer': [47, 47, 50], 'bird': [57], 'chair': [53]}"
Spicy Southwestern-Style Turkey Burgers,https://tasty.co/recipe/spicy-southwestern-style-turkey-burgers,227.0,"[{'Cutlery': 'person', 'Accuracy': 71}, {'Cutlery': 'spoon', 'Accuracy': 69}]","[{'Cutlery': 'person', 'Occurrence': 62, 'Average Accuracy': 59.354838709677416}]","{'Cutlery': 'spoon', 'Accuracy': 69}","{'spoon': {'Top Accuracy': 69, 'Occurrence': 35}, 'person': {'Top Accuracy': 71, 'Occurrence': 62}}","{'Container': 'bowl', 'Accuracy': 77}","[{'Container': 'bowl', 'Occurrence': 73, 'Average Accuracy': 61.602739726027394}]","{'Container': 'bowl', 'Accuracy': 52}","{'bowl': {'Top Accuracy': 77, 'Occurrence': 73}}","{'Glass': 'cup', 'Accuracy': 54}","[{'Glass': 'cup', 'Occurrence': 8, 'Average Accuracy': 50.0}]","{'Glass': 'cup', 'Accuracy': 50}","{'cup': {'Top Accuracy': 54, 'Occurrence': 8}}","{'cake': {'Top Accuracy': 69, 'Occurrences': 34}}","{'dining table': [49, 51, 51, 57, 56, 49, 49, 51, 51, 50, 48, 48, 47, 50, 53], 'toilet': [50, 50], 'toothbrush': [47, 48], 'pinch-bowl': [49], 'silicone-spatula': [52, 59, 49, 54, 54, 48, 48], 'scissors': [48, 56], 'mouse': [50], 'turner': [52, 56, 52, 47], 'sieve': [48, 49, 47, 53], 'bed': [54, 64], 'whisk': [51], 'vase': [57]}"
Spaghetti Squash And Meatballs,https://tasty.co/recipe/spaghetti-squash-and-meatballs,226.0,"[{'Cutlery': 'person', 'Accuracy': 58}, {'Cutlery': 'fork', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 3, 'Average Accuracy': 54.333333333333336}]","{'Cutlery': 'spoon', 'Accuracy': 49}","{'person': {'Top Accuracy': 58, 'Occurrence': 3}, 'fork': {'Top Accuracy': 58, 'Occurrence': 2}, 'spoon': {'Top Accuracy': 49, 'Occurrence': 1}}","{'Container': 'plate', 'Accuracy': 78}","[{'Container': 'bowl', 'Occurrence': 92, 'Average Accuracy': 52.76086956521739}]","{'Container': 'bowl', 'Accuracy': 50}","{'bowl': {'Top Accuracy': 61, 'Occurrence': 92}, 'plate': {'Top Accuracy': 78, 'Occurrence': 49}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'donut': {'Top Accuracy': 48, 'Occurrences': 1}}","{'silicone-spatula': [52, 52], 'tongs': [50, 53, 55, 48, 54, 49, 51, 60, 50, 49, 47, 48, 66, 47, 52, 66, 55, 50, 53, 62, 62, 61, 60, 54, 58, 60, 63, 53, 55, 52, 53, 54, 49, 60, 52], 'car': [53, 56, 47, 53], 'bird': [62, 74, 61, 52, 49], 'dining table': [50, 47], 'baseball bat': [52]}"
Turkey Taco Stuffed Bell Peppers,https://tasty.co/recipe/turkey-taco-stuffed-bell-peppers,224.0,"[{'Cutlery': 'fork', 'Accuracy': 66}, {'Cutlery': 'knife', 'Accuracy': 60}]","[{'Cutlery': 'fork', 'Occurrence': 7, 'Average Accuracy': 59.42857142857143}]","{'Cutlery': 'fork', 'Accuracy': 61}","{'person': {'Top Accuracy': 55, 'Occurrence': 4}, 'knife': {'Top Accuracy': 60, 'Occurrence': 3}, 'fork': {'Top Accuracy': 66, 'Occurrence': 7}}","{'Container': 'bowl', 'Accuracy': 73}","[{'Container': 'bowl', 'Occurrence': 87, 'Average Accuracy': 57.08045977011494}]","{'Container': 'bowl', 'Accuracy': 51}","{'bowl': {'Top Accuracy': 73, 'Occurrence': 87}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'donut': {'Top Accuracy': 62, 'Occurrences': 21}, 'broccoli': {'Top Accuracy': 50, 'Occurrences': 2}, 'cake': {'Top Accuracy': 52, 'Occurrences': 7}}","{'dining table': [52, 52, 52, 51, 51, 51, 49, 51, 51, 50, 50, 49, 49, 53, 52, 52, 52, 47, 47, 49, 49, 49, 51, 51, 51, 51, 51, 48], 'food-container': [66, 67, 65, 65, 66, 73, 80, 81, 73, 78, 70, 47, 65, 63, 60, 62, 66, 57, 54, 53, 48, 68, 53, 70, 52, 71, 48, 56, 54, 54, 52, 49, 55, 48, 49, 49, 58, 57, 57, 47, 76, 61, 51, 75, 61, 52, 77, 49, 53, 48, 48, 51, 53, 49, 51, 50, 50, 77, 71, 78, 65, 51, 57, 52, 56, 56, 69, 63, 63, 57, 57, 78, 63, 52, 73, 62, 73, 62, 68, 60, 68, 60, 67, 60, 60, 60, 56, 58, 50, 47, 63, 62, 62, 57, 56, 53, 53, 53, 54, 54], 'tongs': [63, 63, 81, 72, 72, 70, 75, 74, 62, 64, 67, 64, 62, 64, 62], 'baking-dish': [57, 49, 60, 61, 56, 50, 51, 67, 49, 50, 65, 69, 70, 74, 73, 71, 68, 61, 48, 49, 60, 56, 68, 62, 66, 67, 63, 60, 51, 52, 52, 54, 55, 59, 62, 64, 58, 60, 65, 66, 67, 62, 48, 48, 47, 48, 48, 52, 52, 52, 52, 52], 'teddy bear': [59, 56], 'jar': [47], 'suitcase': [53], 'scissors': [48], 'bird': [51], 'vase': [53, 51, 48]}"
North African-style Poached Eggs In Tomato Sauce,https://tasty.co/recipe/north-african-style-poached-eggs-in-tomato-sauce,236.0,"[{'Cutlery': 'spoon', 'Accuracy': 66}, {'Cutlery': 'person', 'Accuracy': 56}]","[{'Cutlery': 'spoon', 'Occurrence': 39, 'Average Accuracy': 60.743589743589745}]","{'Cutlery': 'fork', 'Accuracy': 48}","{'spoon': {'Top Accuracy': 66, 'Occurrence': 39}, 'person': {'Top Accuracy': 56, 'Occurrence': 4}, 'fork': {'Top Accuracy': 48, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 56}","[{'Container': 'bowl', 'Occurrence': 11, 'Average Accuracy': 50.18181818181818}]","{'Container': 'bowl', 'Accuracy': 50}","{'bowl': {'Top Accuracy': 56, 'Occurrence': 11}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 71, 'Occurrences': 44}}","{'bird': [62, 61, 62, 54, 58, 58, 59, 57, 56, 60, 63, 65, 64, 65, 65, 63, 63, 62], 'kite': [57, 56, 50, 51, 50, 48, 56, 56, 59, 56, 54, 48, 49, 48, 49], 'dining table': [63, 62, 63, 66, 59, 56, 52, 51, 54, 54, 63, 62, 64, 67, 69, 70, 70, 68, 69, 69, 70, 70, 71, 72, 71, 70, 70, 70, 71, 71, 72, 70, 67, 67, 71, 71, 69, 66], 'food-container': [51, 52, 52, 48, 48, 49, 49, 50, 50, 48, 49, 50, 51], 'sieve': [49, 52], 'pan': [51, 52, 51, 51, 52, 53, 55, 50, 50, 50, 60, 70, 67, 70], 'tv': [53, 52, 53, 62, 59, 61, 55, 52, 50, 53], 'tongs': [48, 49], 'silicone-spatula': [48, 52, 50, 48], 'laptop': [57, 49], 'car': [47]}"
Lighter Chicken Korma,https://tasty.co/recipe/lighter-chicken-korma,230.0,"[{'Cutlery': 'fork', 'Accuracy': 61}, {'Cutlery': 'person', 'Accuracy': 57}]","[{'Cutlery': 'fork', 'Occurrence': 9, 'Average Accuracy': 55.55555555555556}]","{'Cutlery': 'person', 'Accuracy': 52}","{'fork': {'Top Accuracy': 61, 'Occurrence': 9}, 'person': {'Top Accuracy': 57, 'Occurrence': 3}}","{'Container': 'bowl', 'Accuracy': 80}","[{'Container': 'bowl', 'Occurrence': 42, 'Average Accuracy': 59.80952380952381}]","{'Container': 'bowl', 'Accuracy': 64}","{'bowl': {'Top Accuracy': 80, 'Occurrence': 42}}","{'Glass': 'bottle', 'Accuracy': 55}","[{'Glass': 'bottle', 'Occurrence': 6, 'Average Accuracy': 51.5}]","{'Glass': 'bottle', 'Accuracy': 47}","{'bottle': {'Top Accuracy': 55, 'Occurrence': 6}}",{},"{'dog': [48, 48], 'cat': [55, 58], 'turner': [54, 47, 47, 56, 51], 'bear': [52], 'cow': [69], 'toothbrush': [48, 62, 66], 'vase': [53], 'silicone-spatula': [49, 50, 50, 49, 50], 'whisk': [49, 48, 50, 60, 62, 52, 59, 59, 59, 59, 59, 58, 58, 58, 57, 58, 48], 'bed': [54], 'sports ball': [49, 47, 48, 58, 61], 'dining table': [48, 50, 52]}"
Easy Homemade Chicken Curry,https://tasty.co/recipe/easy-homemade-chicken-curry,229.0,"[{'Cutlery': 'fork', 'Accuracy': 82}]","[{'Cutlery': 'fork', 'Occurrence': 14, 'Average Accuracy': 66.78571428571429}]","{'Cutlery': 'fork', 'Accuracy': 51}","{'fork': {'Top Accuracy': 82, 'Occurrence': 14}}","{'Container': 'plate', 'Accuracy': 71}","[{'Container': 'bowl', 'Occurrence': 27, 'Average Accuracy': 48.81481481481482}]","{'Container': 'bowl', 'Accuracy': 47}","{'bowl': {'Top Accuracy': 65, 'Occurrence': 27}, 'plate': {'Top Accuracy': 71, 'Occurrence': 26}}","{'Glass': 'bottle', 'Accuracy': 48}","[{'Glass': 'bottle', 'Occurrence': 2, 'Average Accuracy': 47.5}]","{'Glass': 'bottle', 'Accuracy': 47}","{'bottle': {'Top Accuracy': 48, 'Occurrence': 2}}",{},"{'pan': [60, 55, 54], 'frisbee': [56, 52], 'microwave': [53, 49, 54], 'oven': [57], 'tv': [54], 'silicone-spatula': [51, 52], 'chair': [55, 62, 61, 55, 51, 48], 'oven-glove': [48, 49, 49, 51, 51, 50, 51, 51]}"
Popcorn Fried Chicken (Indian Style),https://tasty.co/recipe/popcorn-fried-chicken-indian-style,237.0,"[{'Cutlery': 'person', 'Accuracy': 52}]","[{'Cutlery': 'person', 'Occurrence': 6, 'Average Accuracy': 49.333333333333336}]","{'Cutlery': 'person', 'Accuracy': 47}","{'person': {'Top Accuracy': 52, 'Occurrence': 6}}","{'Container': 'plate', 'Accuracy': 57}","[{'Container': 'bowl', 'Occurrence': 23, 'Average Accuracy': 50.34782608695652}]","{'Container': 'plate', 'Accuracy': 47}","{'bowl': {'Top Accuracy': 55, 'Occurrence': 23}, 'plate': {'Top Accuracy': 57, 'Occurrence': 7}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 56, 'Occurrences': 17}, 'cake': {'Top Accuracy': 69, 'Occurrences': 19}}","{'pan': [74, 74, 72, 69, 62, 57, 58, 64, 60, 65, 60, 60, 63, 63, 63, 59, 49], 'sieve': [57, 56, 56, 59, 48, 56, 54, 58, 48, 55, 53, 48, 50, 70], 'skimmer': [52, 49], 'tennis racket': [55], 'laptop': [55], 'turner': [48, 51, 51, 48, 57, 60, 50], 'silicone-spatula': [52, 47, 53], 'cat': [56, 54, 49]}"
One-Pan Spicy Prawns and Rice,https://tasty.co/recipe/one-pan-spicy-prawns-and-rice,238.0,"[{'Cutlery': 'person', 'Accuracy': 59}]","[{'Cutlery': 'person', 'Occurrence': 3, 'Average Accuracy': 51.666666666666664}]","{'Cutlery': 'person', 'Accuracy': 59}","{'person': {'Top Accuracy': 59, 'Occurrence': 3}}","{'Container': 'bowl', 'Accuracy': 71}","[{'Container': 'bowl', 'Occurrence': 76, 'Average Accuracy': 56.0}]","{'Container': 'bowl', 'Accuracy': 53}","{'bowl': {'Top Accuracy': 71, 'Occurrence': 76}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'donut': {'Top Accuracy': 49, 'Occurrences': 1}}","{'sieve': [55, 54, 54, 59, 63, 69, 65, 57, 50, 61, 59, 49, 53, 55, 67, 57, 61, 53, 57, 53, 52, 52, 51, 51, 50, 48, 50, 53, 50], 'bird': [49], 'frisbee': [51, 51], 'tennis racket': [54], 'pan': [49, 70, 66, 68, 69, 70, 78, 82, 85, 83, 85, 86, 85, 86, 91, 87, 84, 82, 85, 84, 84, 83, 84, 78, 83, 87, 89, 87, 87, 87, 86, 89, 91, 87, 89, 90, 86, 83, 84, 90, 92, 93, 91, 90, 91, 89, 90, 92, 93, 91, 88, 90, 90, 83, 83, 84, 83, 82, 81, 83, 85, 82, 86, 83, 86, 83, 77, 75, 77, 76, 77, 67, 61, 70, 77, 82, 72, 71, 70, 79, 71, 54, 72, 75, 72], 'turner': [60, 49, 55, 54, 54, 48, 49, 61, 60, 60, 61, 58, 51, 50, 48, 59, 62, 58, 59, 48, 47, 52, 50, 52, 49, 48], 'tongs': [49, 48, 54], 'skimmer': [51], 'surfboard': [51], 'toothbrush': [54], 'silicone-spatula': [47, 51], 'microwave': [49, 53, 48], 'laptop': [48], 'sink': [54]}"
Slow Cooker Chicken Tikka Masala,https://tasty.co/recipe/slow-cooker-chicken-tikka-masala,235.0,"[{'Cutlery': 'spoon', 'Accuracy': 62}, {'Cutlery': 'person', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 12, 'Average Accuracy': 54.25}]","{'Cutlery': 'person', 'Accuracy': 51}","{'person': {'Top Accuracy': 58, 'Occurrence': 12}, 'spoon': {'Top Accuracy': 62, 'Occurrence': 3}}","{'Container': 'bowl', 'Accuracy': 63}","[{'Container': 'bowl', 'Occurrence': 77, 'Average Accuracy': 51.5974025974026}]","{'Container': 'bowl', 'Accuracy': 51}","{'bowl': {'Top Accuracy': 63, 'Occurrence': 77}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 50, 'Occurrences': 1}, 'broccoli': {'Top Accuracy': 50, 'Occurrences': 1}}","{'pot': [51, 52, 52, 52, 52, 53, 53, 53, 52, 61, 59, 59, 60, 53, 61, 57, 56, 47, 48, 52, 50, 49, 51], 'tongs': [55, 56, 55, 61, 56, 50, 53, 50, 50], 'car': [49], 'toothbrush': [52], 'lepel': [51], 'dining table': [49, 49, 53, 53, 54, 54, 55, 55, 55, 54, 53, 55, 55, 54, 54, 56, 56, 55, 54, 52, 54, 52, 56, 55, 56, 54, 47, 49, 49, 48, 49, 50, 50, 53, 55, 52, 53], 'whisk': [48]}"
Stuffed French Toast By Chef Andrea Drummer,https://tasty.co/recipe/stuffed-french-toast-by-chef-andrea-drummer,239.0,"[{'Cutlery': 'fork', 'Accuracy': 77}, {'Cutlery': 'knife', 'Accuracy': 58}]","[{'Cutlery': 'fork', 'Occurrence': 13, 'Average Accuracy': 64.6923076923077}]","{'Cutlery': 'fork', 'Accuracy': 51}","{'knife': {'Top Accuracy': 58, 'Occurrence': 3}, 'chopsticks': {'Top Accuracy': 52, 'Occurrence': 1}, 'fork': {'Top Accuracy': 77, 'Occurrence': 13}}","{'Container': 'plate', 'Accuracy': 51}","[{'Container': 'plate', 'Occurrence': 15, 'Average Accuracy': 49.93333333333333}]","{'Container': 'plate', 'Accuracy': 49}","{'plate': {'Top Accuracy': 51, 'Occurrence': 15}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 59, 'Occurrences': 16}, 'donut': {'Top Accuracy': 61, 'Occurrences': 5}}","{'cat': [58, 54, 57, 47, 56, 64, 58, 51, 48, 47], 'bed': [49], 'tongs': [50], 'dog': [52], 'parking meter': [50, 59, 53, 52, 52, 52, 53, 52, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 52, 52, 52, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53], 'stop sign': [56, 51]}"
Dairy-Free Vanilla Bean Panna Cotta,https://tasty.co/recipe/dairy-free-vanilla-bean-panna-cotta,246.0,"[{'Cutlery': 'person', 'Accuracy': 65}, {'Cutlery': 'spoon', 'Accuracy': 61}]","[{'Cutlery': 'knife', 'Occurrence': 8, 'Average Accuracy': 49.75}]","{'Cutlery': 'spoon', 'Accuracy': 50}","{'person': {'Top Accuracy': 65, 'Occurrence': 5}, 'knife': {'Top Accuracy': 52, 'Occurrence': 8}, 'spoon': {'Top Accuracy': 61, 'Occurrence': 3}}","{'Container': 'plate', 'Accuracy': 74}","[{'Container': 'plate', 'Occurrence': 91, 'Average Accuracy': 57.86813186813187}]","{'Container': 'bowl', 'Accuracy': 60}","{'plate': {'Top Accuracy': 74, 'Occurrence': 91}, 'bowl': {'Top Accuracy': 67, 'Occurrence': 65}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 70, 'Occurrences': 70}}","{'laptop': [47, 47, 47], 'scoop': [51], 'kite': [55, 50, 57, 60, 47, 49, 49], 'umbrella': [47, 59, 49], 'silicone-spatula': [48, 48]}"
Froyo Cookie Sandwiches,https://tasty.co/recipe/froyo-cookie-sandwiches,240.0,"[{'Cutlery': 'person', 'Accuracy': 59}]","[{'Cutlery': 'person', 'Occurrence': 3, 'Average Accuracy': 54.0}]","{'Cutlery': 'person', 'Accuracy': 59}","{'person': {'Top Accuracy': 59, 'Occurrence': 3}}","{'Container': 'plate', 'Accuracy': 62}","[{'Container': 'plate', 'Occurrence': 22, 'Average Accuracy': 54.40909090909091}]","{'Container': 'plate', 'Accuracy': 61}","{'plate': {'Top Accuracy': 62, 'Occurrence': 22}}","{'Glass': 'cup', 'Accuracy': 48}","[{'Glass': 'cup', 'Occurrence': 1, 'Average Accuracy': 48.0}]","{'Glass': 'cup', 'Accuracy': 48}","{'cup': {'Top Accuracy': 48, 'Occurrence': 1}}","{'cake': {'Top Accuracy': 64, 'Occurrences': 27}, 'donut': {'Top Accuracy': 60, 'Occurrences': 41}}","{'baking-sheet': [93, 92, 92, 91, 92, 92, 92, 92, 95, 94, 94, 93, 93, 93, 93, 93, 94, 94, 93, 91, 90, 91, 91, 91, 91, 91, 91, 91, 86, 91, 92, 93, 93, 93, 93, 93, 92, 93, 93, 92, 91, 83, 90, 53], 'turner': [48, 50, 49, 51, 52], 'bird': [51], 'refrigerator': [48], 'clock': [50], 'baking-dish': [68], 'sieve': [57], 'dining table': [54, 52, 53, 54, 52, 53, 54, 53, 53, 53, 53, 50, 51, 51, 52, 50, 49, 49, 50, 50, 50, 50, 50, 51], 'bed': [49], 'silicone-spatula': [48]}"
The Best Vegan Vanilla Ice Cream,https://tasty.co/recipe/the-best-vegan-vanilla-ice-cream,242.0,"[{'Cutlery': 'knife', 'Accuracy': 57}]","[{'Cutlery': 'fork', 'Occurrence': 11, 'Average Accuracy': 51.0}]","{'Cutlery': 'fork', 'Accuracy': 52}","{'spoon': {'Top Accuracy': 48, 'Occurrence': 1}, 'knife': {'Top Accuracy': 57, 'Occurrence': 2}, 'person': {'Top Accuracy': 52, 'Occurrence': 5}, 'fork': {'Top Accuracy': 53, 'Occurrence': 11}}","{'Container': 'bowl', 'Accuracy': 53}","[{'Container': 'bowl', 'Occurrence': 2, 'Average Accuracy': 50.5}]","{'Container': 'bowl', 'Accuracy': 48}","{'bowl': {'Top Accuracy': 53, 'Occurrence': 2}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'cow': [49], 'silicone-spatula': [60, 62, 63, 56, 51, 48, 48, 48, 49], 'kite': [59, 47], 'vase': [56], 'measuring-cup': [54, 63, 52, 50, 47], 'tennis racket': [50, 51, 55], 'tongs': [47, 53], 'cell phone': [50], 'remote': [48, 47, 48, 48, 49, 49, 49]}"
Earl Grey Blackberry Cake,https://tasty.co/recipe/earl-grey-blackberry-cake,244.0,"[{'Cutlery': 'fork', 'Accuracy': 80}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 69.1}]","{'Cutlery': 'person', 'Accuracy': 49}","{'fork': {'Top Accuracy': 80, 'Occurrence': 20}, 'person': {'Top Accuracy': 50, 'Occurrence': 3}}","{'Container': 'plate', 'Accuracy': 54}","[{'Container': 'plate', 'Occurrence': 7, 'Average Accuracy': 52.285714285714285}]","{'Container': 'plate', 'Accuracy': 54}","{'plate': {'Top Accuracy': 54, 'Occurrence': 7}}","{'Glass': 'cup', 'Accuracy': 71}","[{'Glass': 'cup', 'Occurrence': 11, 'Average Accuracy': 66.18181818181819}]","{'Glass': 'bottle', 'Accuracy': 48}","{'cup': {'Top Accuracy': 71, 'Occurrence': 11}, 'bottle': {'Top Accuracy': 48, 'Occurrence': 1}}","{'cake': {'Top Accuracy': 69, 'Occurrences': 65}}","{'scoop': [51, 51, 50, 50, 52, 53, 55, 55, 55], 'dining table': [48], 'laptop': [52, 49, 54, 64, 51, 53, 53, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 53, 59, 62, 60, 49], 'cutting-board': [71, 78, 71, 75, 65, 48, 51, 64], 'book': [50, 56, 50, 53, 52, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 52, 52, 50, 53]}"
